id,text,category
968405,aceite miraflores maravilla 1 l 12 unidades,
1026996,aceite belmont vegetal 1 l 12 unidades,
1021922,aceite chef maravilla 1 l 12 unidades,
1021921,aceite chef maravilla 1 l 12 unidades,
969091,aceite sol de aculeo oliva extra virgen arbequina 500 ml unidad,
966745,aceite chef maravilla 1 l unidad,
967688,aceite kardamili oliva classic 1000 ml unidad,
1026994,aceite belmont vegetal 5 l unidad,
967687,aceite kardamili oliva extra virgen 500 ml,
969093,aceite sol de aculeo oliva extra virgen blend 500 ml unidad,
966380,aceite belmont maravilla 1 l unidad,
1114930,aceite miraflores maravilla 1 l unidad,
1028420,aceite chef de maravilla 1 litro unidad,
1021868,aceite belmont maravilla 1 l 12 unidades,
966384,aceite belmont vegetal 1 l unidad,
1039147,aceite chef maravilla 500 ml unidad,
966381,aceite belmont maravilla 2 l unidad,
966749,aceite chef oliva 1 l unidad,
966743,aceite chef de oliva 500 ml unidad,
969584,aceite talliani oliva extra virgen 500 cc unidad,
966750,aceite chef oliva extra virgen 500 cc unidad,
1021000,aceite alsamar vegetal 900 cc unidad,
966431,aceite bonanza vegetal 1 l unidad,
1028423,aceite belmont vegetal 1 litro con canola unidad,
969623,aceite trisol vegetal 1 l unidad,
1036781,aceite miraflores vegetal 15 x 1 lito,
968352,aceite mestre  oliva extra virgen 1000 ml unidad,
1026995,aceite chef vegetal 1 l 12 unidades,
1259680,aceite cristal vegetal 900 ml unidad,
967085,aceite cristal vegetal 5 litros 4 unidades,
966752,aceite chef pepita de uva 500 cc unidad,
1022619,aceite miraflores maravilla 1 l 15 unidades,
966385,aceite belmont vegetal 2 l unidad,
969622,aceite trisol maravilla 1 l unidad,
966753,aceite chef vegetal 1 l unidad,
969094,aceite sol de aculeo oliva extra vrgen arbequina 1 l unidad,
968408,aceite miraflores maravilla 1 l 4 unidades,
1022380,aceite acuenta vegetal 900 cc unidad,
1021546,aceite olin vegetal 10 unidades,
1026978,aceite cristal vegetal 1 l 12 unidades,
967082,aceite cristal vegetal 1 l 12 unidades,
967089,aceite cristal vegetal 5 l unidad,
966038,aceite agroprodex vegetal 1 l unidad,
1022841,aceite granada vegetal 1 l 12 unidades,
966748,aceite chef maravilla 5 l unidad,
966738,aceite chef maravilla 2 l 6 unidades,
1119675,aceite chef maravilla 5 litros unidad,
968455,aceite natura maravilla 1 l 15 unidades,
