id,text,category
1042589,LAPTOP HP 240 G3 J2M27LT UNIDAD,LAPTOP
1042580,LAPTOP HP PROBOOK 450 G1 (E3W02LT) UNIDAD,LAPTOP
1136148,DESKTOP ARTEC NETIVOT I3 (M19-WP) UNIDAD,DESKTOP
1042526,LAPTOP LENOVO T440 I7 UNIDAD,LAPTOP
1136274,LAPTOP APPLE MGX92CI/A UNIDAD,LAPTOP
1042618,LAPTOP HP 14-G005LA UNIDAD,LAPTOP
1042521,ALL IN ONE LENOVO E73Z I3 UNIDAD,ALL IN ONE
1042481,LAPTOP LANIX NEURON R II UNIDAD,LAPTOP
1136188,DESKTOP TECNOCAM I5 UNIDAD,DESKTOP
1042581,LAPTOP HP PROBOOK 450 G1 UNIDAD,LAPTOP
1042576,LAPTOP HP PROBOOK 440 G1 UNIDAD,LAPTOP
1136027,ALL IN ONE ACER ASPIRE Z1-621 UNIDAD,ALL IN ONE
1042523,DESKTOP LENOVO E73E G3220 UNIDAD,DESKTOP
1042517,ALL IN ONE HP AIO PRO ONE 400 G1 UNIDAD,ALL IN ONE
1136174,DESKTOP LANIX S601-I3 4150/W UNIDAD,DESKTOP
1042573,DESKTOP HP ALL-IN-ONE 19-2050LA UNIDAD,DESKTOP
1042502,ALL IN ONE HP PROONE 400 G1 UNIDAD,ALL IN ONE
1042592,LAPTOP HP 240 G2 UNIDAD,LAPTOP
1042571,DESKTOP HP PAVILION ALL-IN-ONE 23-G020LA UNIDAD,DESKTOP
1136181,DESKTOP PREMIUM INTEL CORE I7 UNIDAD,DESKTOP
1042566,DESKTOP HP PAVILION ALL-IN-ONE 23-P010LA UNIDAD,DESKTOP
1136149,DESKTOP ARTEC NETIVOT I3 (M19-WPOF2) UNIDAD,DESKTOP
1136187,DESKTOP TECNOCAM I3 FREEDOS UNIDAD,DESKTOP
1042501,ALL IN ONE HP PROONE 400 G1 I3-4130T/4GB DDR3/500GB 7200RPM/W7P UNIDAD,ALL IN ONE
1042025,LAPTOP TOSHIBA SATELLITE L45-B4216FL UNIDAD,LAPTOP
1042570,DESKTOP HP ENVY RECLINE 27-K115LA TOUCHSMART ALL-IN-ONE UNIDAD,DESKTOP
1042511,DESKTOP HP PRODESK 600 G1 G5R64LT#ABM UNIDAD,DESKTOP
1042660,LAPTOP HP ZBOOK 15 UNIDAD,LAPTOP
1042586,LAPTOP HP 340 G1 UNIDAD,LAPTOP
1042437,LAPTOP HP 240 G3 UNIDAD,LAPTOP
1136147,DESKTOP ARTEC NETANYA I7 SILVER (8GM19-WP) UNIDAD,DESKTOP
1042544,DESKTOP HP PRODESK 400 G1(K1L40LT)  UNIDAD,DESKTOP
1136189,DESKTOP TECNOCAM I7 UNIDAD,DESKTOP
1042588,LAPTOP HP 340 G1 UNIDAD,LAPTOP
1042561,DESKTOP HP ELITEDESK 800 G1 K6P73LT UNIDAD,DESKTOP
1042574,DESKTOP HP ALL-IN-ONE 18-5001LA UNIDAD,DESKTOP
1042527,DESKTOP - INTEL CORE I3 FREEDOS UNIDAD,DESKTOP
"1042518,""LAPTOP HP ELITEBOOK 9470M. I5-3337U 4GB/500GB 14"""" W7 PRO UNIDAD"",LAPTOP"
1042525,LAPTOP LENOVO T440 I5 UNIDAD,LAPTOP
1042578,LAPTOP HP ELITEBOOK 840 G1 UNIDAD,LAPTOP
1136284,LAPTOP LENOVO B40-70 UNIDAD,LAPTOP
1075749,ALL IN ONE LENOVO E73Z I3 ARRIENDO 36 MESES,ALL IN ONE
1042522,DESKTOP LENOVO M83 I5 UNIDAD,DESKTOP
1042513,DESKTOP HP ELITEDESK 800 G1 UNIDAD,DESKTOP
1042519,LAPTOP HP PROBOOK 430 I5-4200U UNIDAD,LAPTOP
1042440,LAPTOP HP 640 G1 UNIDAD,LAPTOP
