id,text,category,conf,envase,marca,modelo,tp,medida bolsa (bolsa),medida lt (litro),medida tableta (tableta),medida un (unidad1),medida un2 (unidad2),light,medida gr (gramo),sabor,alvacio,marinado,tamaño
968405,aceite miraflores maravilla 1 l 12 unidades,Aceites,1.0,,miraflores,,,,1.0,,12.0,,,,,,,
1026996,aceite belmont vegetal 1 l 12 unidades,Aceites,1.0,,belmont,,,,1.0,,12.0,,,,,,,
1021922,aceite chef maravilla 1 l 12 unidades,Aceites,1.0,,chef,,,,1.0,,12.0,,,,,,,
1021921,aceite chef maravilla 1 l 12 unidades,Aceites,1.0,,chef,,,,1.0,,12.0,,,,,,,
969091,aceite sol de aculeo oliva extra virgen arbequina 500 ml unidad,Aceites,1.0,,sol de aculeo,,,,0.5,,,,,,,,,
966745,aceite chef maravilla 1 l unidad,Aceites,1.0,,chef,,,,1.0,,,,,,,,,
967688,aceite kardamili oliva classic 1000 ml unidad,Aceites,1.0,,kardamili,,,,1.0,,,,,,,,,
1026994,aceite belmont vegetal 5 l unidad,Aceites,1.0,,belmont,,,,5.0,,,,,,,,,
967687,aceite kardamili oliva extra virgen 500 ml,Aceites,1.0,,kardamili,,,,0.5,,,,,,,,,
969093,aceite sol de aculeo oliva extra virgen blend 500 ml unidad,Aceites,1.0,,sol de aculeo,,,,0.5,,,,,,,,,
966380,aceite belmont maravilla 1 l unidad,Aceites,1.0,,belmont,,,,1.0,,,,,,,,,
1114930,aceite miraflores maravilla 1 l unidad,Aceites,1.0,,miraflores,,,,1.0,,,,,,,,,
1028420,aceite chef de maravilla 1 litro unidad,Aceites,1.0,,chef,,,,,,,,,,,,,
1021868,aceite belmont maravilla 1 l 12 unidades,Aceites,1.0,,belmont,,,,1.0,,12.0,,,,,,,
966384,aceite belmont vegetal 1 l unidad,Aceites,1.0,,belmont,,,,1.0,,,,,,,,,
1039147,aceite chef maravilla 500 ml unidad,Aceites,1.0,,chef,,,,0.5,,,,,,,,,
966381,aceite belmont maravilla 2 l unidad,Aceites,1.0,,belmont,,,,2.0,,,,,,,,,
966749,aceite chef oliva 1 l unidad,Aceites,1.0,,chef,,,,1.0,,,,,,,,,
966743,aceite chef de oliva 500 ml unidad,Aceites,1.0,,chef,,,,0.5,,,,,,,,,
969584,aceite talliani oliva extra virgen 500 cc unidad,,0.4,,,,,,,,,,,,,,,
966750,aceite chef oliva extra virgen 500 cc unidad,Aceites,1.0,,chef,,,,0.5,,,,,,,,,
1021000,aceite alsamar vegetal 900 cc unidad,Aceites,1.0,,,,,,0.9,,,,,,,,,
966431,aceite bonanza vegetal 1 l unidad,Aceites,1.0,,bonanza,,,,1.0,,,,,,,,,
1028423,aceite belmont vegetal 1 litro con canola unidad,Aceites,1.0,,belmont,,,,,,,,,,,,,
969623,aceite trisol vegetal 1 l unidad,Aceites,1.0,,trisol,,,,1.0,,,,,,,,,
1036781,aceite miraflores vegetal 15 x 1 lito,Aceites,1.0,,miraflores,,,,,,,,,,,,,
968352,aceite mestre  oliva extra virgen 1000 ml unidad,Aceites,1.0,,,,,,1.0,,,,,,,,,
1026995,aceite chef vegetal 1 l 12 unidades,Aceites,1.0,,chef,,,,1.0,,12.0,,,,,,,
1259680,aceite cristal vegetal 900 ml unidad,Aceites,1.0,,cristal,,,,0.9,,,,,,,,,
967085,aceite cristal vegetal 5 litros 4 unidades,Aceites,1.0,,cristal,,,,,,4.0,,,,,,,
966752,aceite chef pepita de uva 500 cc unidad,Aceites,1.0,,chef,,,,0.5,,,,,,,,,
1022619,aceite miraflores maravilla 1 l 15 unidades,Aceites,1.0,,miraflores,,,,1.0,,15.0,,,,,,,
966385,aceite belmont vegetal 2 l unidad,Aceites,1.0,,belmont,,,,2.0,,,,,,,,,
969622,aceite trisol maravilla 1 l unidad,Aceites,1.0,,trisol,,,,1.0,,,,,,,,,
966753,aceite chef vegetal 1 l unidad,Aceites,1.0,,chef,,,,1.0,,,,,,,,,
969094,aceite sol de aculeo oliva extra vrgen arbequina 1 l unidad,Aceites,1.0,,sol de aculeo,,,,1.0,,,,,,,,,
968408,aceite miraflores maravilla 1 l 4 unidades,Aceites,1.0,,miraflores,,,,1.0,,4.0,,,,,,,
1022380,aceite acuenta vegetal 900 cc unidad,Aceites,1.0,,,,,,0.9,,,,,,,,,
1021546,aceite olin vegetal 10 unidades,Aceites,1.0,,,,,,,,10.0,,,,,,,
1026978,aceite cristal vegetal 1 l 12 unidades,Aceites,1.0,,cristal,,,,1.0,,12.0,,,,,,,
967082,aceite cristal vegetal 1 l 12 unidades,Aceites,1.0,,cristal,,,,1.0,,12.0,,,,,,,
967089,aceite cristal vegetal 5 l unidad,Aceites,1.0,,cristal,,,,5.0,,,,,,,,,
966038,aceite agroprodex vegetal 1 l unidad,,0.8,,,,,,,,,,,,,,,
1022841,aceite granada vegetal 1 l 12 unidades,Aceites,1.0,,granada,,,,1.0,,12.0,,,,,,,
966748,aceite chef maravilla 5 l unidad,Aceites,1.0,,chef,,,,5.0,,,,,,,,,
966738,aceite chef maravilla 2 l 6 unidades,Aceites,1.0,,chef,,,,2.0,,6.0,,,,,,,
1119675,aceite chef maravilla 5 litros unidad,Aceites,1.0,,chef,,,,,,,,,,,,,
968455,aceite natura maravilla 1 l 15 unidades,Aceites,1.0,,natura,,,,1.0,,15.0,,,,,,,
966386,aceite belmont vegetal 500 cc unidad,Aceites,1.0,,belmont,,,,0.5,,,,,,,,,
968407,aceite miraflores oliva 500 cc 24 unidades,,0.8,,,,,,,,,,,,,,,
966744,aceite chef maiz 1 l unidad,,0.6,,,,,,,,,,,,,,,
1028419,aceite chef aceite de oliva extra virgen 500 ml 2 botellas pack,Aceites,1.0,,chef,,aceite de oliva,,0.5,,,2.0,,,,,,
1039146,aceite chef maravilla 5 litros 4 unidades,Aceites,1.0,,chef,,,,,,4.0,,,,,,,
1023285,aceite merkat aceite vegetal 900 cc,Aceites,1.0,,merkat,,aceite vegetal,,0.9,,,,,,,,,
1033762,aceite miraflores aceite miraflores pack 7 unidades  pack 7,,0.6,,,,,,,,,,,,,,,
967369,aceite fritomaster industrial 10 l unidad,Aceites,1.0,,,,,,10.0,,,,,,,,,
968750,aceite protal vegetal 900 cc 15 unidades,,0.4,,,,,,,,,,,,,,,
1039144,aceite la reina vegetal 5 litros 4 unidades,Aceites,1.0,,,,,,,,4.0,,,,,,,
1022271,aceite silos vegetal 900 cc,Aceites,1.0,,,,,,0.9,,,,,,,,,
968753,aceite protal vegetal 250 cc unidad,Aceites,1.0,,,,,,0.25,,,,,,,,,
1039148,aceite la reina vegetal 500 ml 24 unidades,Aceites,1.0,,,,,,0.5,,24.0,,,,,,,
